REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2015/01/01 00:30:00,6920.94,48.06,TRADE
NSW1,2015/01/01 01:00:00,6668.71,47.25,TRADE
NSW1,2015/01/01 01:30:00,6327.71,37.1,TRADE
NSW1,2015/01/01 02:00:00,6056.02,34.86,TRADE
NSW1,2015/01/01 02:30:00,5827.97,32.9,TRADE
NSW1,2015/01/01 03:00:00,5711.33,31.63,TRADE
NSW1,2015/01/01 03:30:00,5653.85,30.9,TRADE
NSW1,2015/01/01 04:00:00,5625.27,31.6,TRADE
NSW1,2015/01/01 04:30:00,5618.95,28.69,TRADE
NSW1,2015/01/01 05:00:00,5580.51,27.96,TRADE
NSW1,2015/01/01 05:30:00,5589.51,26.39,TRADE
NSW1,2015/01/01 06:00:00,5646.63,24.56,TRADE
NSW1,2015/01/01 06:30:00,5806.57,26.75,TRADE
NSW1,2015/01/01 07:00:00,5998.21,27.96,TRADE
NSW1,2015/01/01 07:30:00,6221.81,29.96,TRADE
NSW1,2015/01/01 08:00:00,6361.85,29.86,TRADE
NSW1,2015/01/01 08:30:00,6572.36,31.11,TRADE
NSW1,2015/01/01 09:00:00,6777.41,33.08,TRADE
NSW1,2015/01/01 09:30:00,6984.62,33.79,TRADE
NSW1,2015/01/01 10:00:00,7149.04,35.07,TRADE
NSW1,2015/01/01 10:30:00,7298.73,37.33,TRADE
NSW1,2015/01/01 11:00:00,7473.69,44.16,TRADE
NSW1,2015/01/01 11:30:00,7657.83,38.83,TRADE
NSW1,2015/01/01 12:00:00,7799.16,40.1,TRADE
NSW1,2015/01/01 12:30:00,7916.74,37.32,TRADE
NSW1,2015/01/01 13:00:00,8056.15,41.42,TRADE
NSW1,2015/01/01 13:30:00,8266.21,45.62,TRADE
NSW1,2015/01/01 14:00:00,8448.61,93.79,TRADE
NSW1,2015/01/01 14:30:00,8672.66,221.18,TRADE
NSW1,2015/01/01 15:00:00,8853.28,195.9,TRADE
NSW1,2015/01/01 15:30:00,9053.87,270.47,TRADE
NSW1,2015/01/01 16:00:00,9167.67,299.67,TRADE
NSW1,2015/01/01 16:30:00,9198.8,296.95,TRADE
NSW1,2015/01/01 17:00:00,9324.24,299.6,TRADE
NSW1,2015/01/01 17:30:00,9253.41,299.6,TRADE
NSW1,2015/01/01 18:00:00,9063.39,133.67,TRADE
NSW1,2015/01/01 18:30:00,8904.95,92.57,TRADE
NSW1,2015/01/01 19:00:00,8722.41,52.34,TRADE
NSW1,2015/01/01 19:30:00,8592.39,64.03,TRADE
NSW1,2015/01/01 20:00:00,8600.25,159.9,TRADE
NSW1,2015/01/01 20:30:00,8441.17,58.92,TRADE
NSW1,2015/01/01 21:00:00,8202.75,32.49,TRADE
NSW1,2015/01/01 21:30:00,8023.55,41.63,TRADE
NSW1,2015/01/01 22:00:00,7785.96,40.35,TRADE
NSW1,2015/01/01 22:30:00,7653.88,39.86,TRADE
NSW1,2015/01/01 23:00:00,7403.39,36.82,TRADE
NSW1,2015/01/01 23:30:00,7173.16,37.43,TRADE
NSW1,2015/01/02 00:00:00,7021.85,35.97,TRADE
NSW1,2015/01/02 00:30:00,6822.81,39.06,TRADE
NSW1,2015/01/02 01:00:00,6558.29,37.78,TRADE
NSW1,2015/01/02 01:30:00,6242.62,32.41,TRADE
NSW1,2015/01/02 02:00:00,6016.26,32.04,TRADE
NSW1,2015/01/02 02:30:00,5867.81,28.87,TRADE
NSW1,2015/01/02 03:00:00,5801.32,34.22,TRADE
NSW1,2015/01/02 03:30:00,5760.09,39.14,TRADE
NSW1,2015/01/02 04:00:00,5772.57,36.05,TRADE
NSW1,2015/01/02 04:30:00,5889.18,32.26,TRADE
NSW1,2015/01/02 05:00:00,5966.97,27.96,TRADE
NSW1,2015/01/02 05:30:00,6181.37,29.05,TRADE
NSW1,2015/01/02 06:00:00,6395.72,29.91,TRADE
NSW1,2015/01/02 06:30:00,6637.65,35.99,TRADE
NSW1,2015/01/02 07:00:00,6910.14,37.01,TRADE
NSW1,2015/01/02 07:30:00,7224.8,37.22,TRADE
NSW1,2015/01/02 08:00:00,7471.87,39.13,TRADE
NSW1,2015/01/02 08:30:00,7806.61,125.11,TRADE
NSW1,2015/01/02 09:00:00,8020.69,46.94,TRADE
NSW1,2015/01/02 09:30:00,8161.89,52.94,TRADE
NSW1,2015/01/02 10:00:00,8372.91,181.16,TRADE
NSW1,2015/01/02 10:30:00,8510.58,280.25,TRADE
NSW1,2015/01/02 11:00:00,8662.26,264.5,TRADE
NSW1,2015/01/02 11:30:00,8810.83,146.14,TRADE
NSW1,2015/01/02 12:00:00,8929.2,223.69,TRADE
NSW1,2015/01/02 12:30:00,9001.9,299.63,TRADE
NSW1,2015/01/02 13:00:00,9117.04,299.8,TRADE
NSW1,2015/01/02 13:30:00,9259.82,299.77,TRADE
NSW1,2015/01/02 14:00:00,9337.47,299.73,TRADE
NSW1,2015/01/02 14:30:00,9284.24,299.6,TRADE
NSW1,2015/01/02 15:00:00,9282.71,299.63,TRADE
NSW1,2015/01/02 15:30:00,9277.02,131.74,TRADE
NSW1,2015/01/02 16:00:00,9255.25,148.35,TRADE
NSW1,2015/01/02 16:30:00,9230.12,173.44,TRADE
NSW1,2015/01/02 17:00:00,9199.53,159.86,TRADE
NSW1,2015/01/02 17:30:00,9033.57,64.67,TRADE
NSW1,2015/01/02 18:00:00,8941.91,50.75,TRADE
NSW1,2015/01/02 18:30:00,8770.09,52.67,TRADE
NSW1,2015/01/02 19:00:00,8686.1,50.02,TRADE
