time,battery_state,rrp,export_kw,import_kw,grid_import_kwh,grid_export_kwh,cumulative_cost,cumulative_revenue,cumulative_profit
1/01/2025 0:05,0,138.03,0,4.404,0.367,0,0.090295579,0,-0.090295579
1/01/2025 0:10,0,134.42,0,4.644,0.387,0,0.184114828,0,-0.184114828
1/01/2025 0:15,0,135.89,0,4.704,0.392,0,0.279722452,0,-0.279722452
1/01/2025 0:20,0,120.31,0,4.788,0.399,0,0.370820935,0,-0.370820935
1/01/2025 0:25,0,119.89,0,4.596,0.383,0,0.458105486,0,-0.458105486
1/01/2025 0:30,0,121.87,0,4.584,0.382,0,0.5459185,0,-0.5459185
1/01/2025 0:35,0,111.65,0,4.668,0.389,0,0.631365073,0,-0.631365073
1/01/2025 0:40,0,119.05,0,4.608,0.384,0,0.718554961,0,-0.718554961
1/01/2025 0:45,0,119.49,0,4.548,0.379,0,0.804776324,0,-0.804776324
1/01/2025 0:50,0,115.95,0,4.608,0.384,0,0.890775812,0,-0.890775812
1/01/2025 0:55,0,128.51,0,4.572,0.381,0,0.980888789,0,-0.980888789
1/01/2025 1:00,0,116.72,0,4.596,0.383,0,1.06695923,0,-1.06695923
1/01/2025 1:05,0,116.34,0,4.548,0.379,0,1.151986743,0,-1.151986743
1/01/2025 1:10,0,109.74,0,4.5,0.375,0,1.233641868,0,-1.233641868
1/01/2025 1:15,0,107.54,0,4.452,0.371,0,1.313609805,0,-1.313609805
1/01/2025 1:20,0,117.09,0,4.512,0.376,0,1.398246277,0,-1.398246277
1/01/2025 1:25,0,113.44,0,4.488,0.374,0,1.481067455,0,-1.481067455
1/01/2025 1:30,0,109.74,0,4.38,0.365,0,1.56054511,0,-1.56054511
1/01/2025 1:35,0,109.69,0,4.476,0.373,0,1.641746091,0,-1.641746091
1/01/2025 1:40,0,104.5,0,4.464,0.372,0,1.720798695,0,-1.720798695
1/01/2025 1:45,0,104.5,0,4.488,0.374,0,1.800276313,0,-1.800276313
1/01/2025 1:50,0,103.24,0,4.428,0.369,0,1.878226456,0,-1.878226456
1/01/2025 1:55,0,103.95,0,4.428,0.369,0,1.956438589,0,-1.956438589
1/01/2025 2:00,0,104.5,0,4.08,0.34,0,2.028690969,0,-2.028690969
1/01/2025 2:05,0,104.5,0,0.276,0.023,0,2.03357863,0,-2.03357863
1/01/2025 2:10,0,105.42,0,0.276,0.023,0,2.038487451,0,-2.038487451
1/01/2025 2:15,0,104.5,0,0.204,0.017,0,2.04210007,0,-2.04210007
1/01/2025 2:20,0,104.5,0,0.264,0.022,0,2.046775224,0,-2.046775224
1/01/2025 2:25,0,104.5,0,0.216,0.018,0,2.05060035,0,-2.05060035
1/01/2025 2:30,0,104.5,0,0.288,0.024,0,2.055700518,0,-2.055700518
1/01/2025 2:35,0,104.5,0,0.252,0.021,0,2.060163165,0,-2.060163165
1/01/2025 2:40,0,104.5,0,0.264,0.022,0,2.064838319,0,-2.064838319
1/01/2025 2:45,0,104.16,0,0.204,0.017,0,2.068445158,0,-2.068445158
1/01/2025 2:50,0,103.4,0,0.252,0.021,0,2.072884705,0,-2.072884705
1/01/2025 2:55,0,103.36,0,0.288,0.024,0,2.077957513,0,-2.077957513
1/01/2025 3:00,0,102.58,0,0.228,0.019,0,2.081958666,0,-2.081958666
1/01/2025 3:05,0,104.25,0,0.252,0.021,0,2.086416063,0,-2.086416063
