SETTLEMENTDATE,TOTALDEMAND,RRP
1/12/2024 0:05,7020.14,105.61
1/12/2024 0:10,7049.46,104.95
1/12/2024 0:15,6996.36,110.02
1/12/2024 0:20,6924.1,104.5
1/12/2024 0:25,6894.04,104.89
1/12/2024 0:30,6968.97,99.06
1/12/2024 0:35,6814.75,104.89
1/12/2024 0:40,6834.39,119.05
1/12/2024 0:45,6803.91,106.54
1/12/2024 0:50,6781.37,104.97
1/12/2024 0:55,6629.15,110.02
1/12/2024 1:00,6651.32,110.02
1/12/2024 1:05,6624.54,110.02
1/12/2024 1:10,6634.64,110.02
1/12/2024 1:15,6608.8,114.37
1/12/2024 1:20,6596.55,115.17
1/12/2024 1:25,6533.37,110.02
1/12/2024 1:30,6494.44,110.02
1/12/2024 1:35,6472.55,112.57
1/12/2024 1:40,6457.5,148.0
1/12/2024 1:45,6480.73,110.02
1/12/2024 1:50,6422.28,117.08
1/12/2024 1:55,6454.06,108.43
1/12/2024 2:00,6371.04,110.02
1/12/2024 2:05,6420.19,110.02
1/12/2024 2:10,6392.78,104.39
1/12/2024 2:15,6383.8,94.39
1/12/2024 2:20,6312.35,95.08
1/12/2024 2:25,6355.79,103.52
1/12/2024 2:30,6373.46,87.73
1/12/2024 2:35,6370.77,102.62
1/12/2024 2:40,6274.43,100.29
1/12/2024 2:45,6295.89,102.16
1/12/2024 2:50,6299.53,100.42
1/12/2024 2:55,6314.7,102.63
1/12/2024 3:00,6319.36,103.23
1/12/2024 3:05,6198.21,89.12
1/12/2024 3:10,6302.53,110.02
1/12/2024 3:15,6287.89,106.0
1/12/2024 3:20,6293.62,103.19
1/12/2024 3:25,6267.32,102.01
1/12/2024 3:30,6219.78,87.5
1/12/2024 3:35,6217.51,80.0
1/12/2024 3:40,6264.18,87.5
1/12/2024 3:45,6152.53,80.0
1/12/2024 3:50,6251.71,87.5
1/12/2024 3:55,6225.28,87.5
1/12/2024 4:00,6168.6,87.5
1/12/2024 4:05,6245.81,112.78
1/12/2024 4:10,6322.9,114.36
1/12/2024 4:15,6321.72,110.02
1/12/2024 4:20,6277.58,110.02
1/12/2024 4:25,6299.76,110.02
1/12/2024 4:30,6290.16,105.32
1/12/2024 4:35,6234.38,80.0
1/12/2024 4:40,6288.96,80.0
1/12/2024 4:45,6273.95,80.0
1/12/2024 4:50,6239.06,80.0
1/12/2024 4:55,6216.26,80.0
1/12/2024 5:00,6259.81,87.89
1/12/2024 5:05,6209.1,80.0
1/12/2024 5:10,6223.07,80.0
1/12/2024 5:15,6122.09,80.0
1/12/2024 5:20,6219.7,80.0
1/12/2024 5:25,6176.33,83.65
1/12/2024 5:30,6234.86,87.5
1/12/2024 5:35,6182.23,87.5
1/12/2024 5:40,6300.24,81.14
1/12/2024 5:45,6340.03,87.5
1/12/2024 5:50,6186.47,76.0
1/12/2024 5:55,6264.23,78.17
1/12/2024 6:00,6242.24,76.58
1/12/2024 6:05,6217.87,74.26
1/12/2024 6:10,6213.02,56.98
1/12/2024 6:15,6175.3,73.83
1/12/2024 6:20,6206.11,56.98
1/12/2024 6:25,6148.64,80.0
1/12/2024 6:30,6194.4,80.0
1/12/2024 6:35,6016.64,76.72
1/12/2024 6:40,6048.44,80.0
1/12/2024 6:45,5994.9,77.19
1/12/2024 6:50,5960.0,74.52
1/12/2024 6:55,5865.1,76.0
1/12/2024 7:00,5888.64,75.98
1/12/2024 7:05,5823.94,71.93
1/12/2024 7:10,5958.61,76.72
1/12/2024 7:15,5967.08,76.0
1/12/2024 7:20,6007.37,73.76
1/12/2024 7:25,5935.69,56.98
1/12/2024 7:30,6037.35,67.94
1/12/2024 7:35,5910.41,54.42
1/12/2024 7:40,6033.09,76.72
1/12/2024 7:45,5991.57,59.69
1/12/2024 7:50,5923.86,56.98
1/12/2024 7:55,5888.25,56.98
1/12/2024 8:00,5876.49,47.32
1/12/2024 8:05,5828.25,76.72
1/12/2024 8:10,5881.13,97.56
1/12/2024 8:15,5829.31,76.72
1/12/2024 8:20,5817.31,76.0
1/12/2024 8:25,5803.32,57.01
1/12/2024 8:30,5981.02,76.0
1/12/2024 8:35,5996.17,57.52
1/12/2024 8:40,6106.72,76.72
1/12/2024 8:45,6065.66,59.82
1/12/2024 8:50,6148.06,76.0
1/12/2024 8:55,6110.49,56.98
1/12/2024 9:00,6061.37,56.98
1/12/2024 9:05,6033.88,56.98
1/12/2024 9:10,6104.53,46.33
1/12/2024 9:15,6087.22,56.98
1/12/2024 9:20,6100.97,56.98
1/12/2024 9:25,6105.29,56.98
1/12/2024 9:30,6008.8,20.0
1/12/2024 9:35,5775.75,-17.92
1/12/2024 9:40,5729.33,5.74
1/12/2024 9:45,5686.47,44.82
1/12/2024 9:50,5734.94,56.98
1/12/2024 9:55,5721.49,46.06
1/12/2024 10:00,5714.28,45.59
1/12/2024 10:05,5596.33,20.0
1/12/2024 10:10,5765.75,57.01
1/12/2024 10:15,5772.66,47.53
1/12/2024 10:20,5814.97,47.75
1/12/2024 10:25,5922.39,56.98
1/12/2024 10:30,6030.21,58.26
1/12/2024 10:35,6019.94,59.18
1/12/2024 10:40,6198.1,167.84
1/12/2024 10:45,6314.62,78.72
1/12/2024 10:50,6279.34,74.38
